"id";"Name";"Name on Shirt";"Teams";"Nationality";"Age";"Height(cm)";"Weight(Kg)";"Stronger foot";"Favorite side";"Reg. Pos.";"Positions";"Injury";"Attack";"Defence";"Body balance";"Stamina";"Top speed";"Responsiveness";"Explosive power";"Dribble accuracy";"Dribble speed";"Short pass accuracy";"Short pass speed";"Long pass accuracy";"Long pass speed";"Shot accuracy";"Shot power";"Free kick accuracy";"Swerve";"Header Accuracy";"Jump";"Ball control";"Mentality";"Keeper skills";"Teamwork";"Form";"Weak foot accuracy";"Weak foot frequency";"P01 Classic No.10";"P02 Anchor Man";"P03 Trickster";"P04 Darting Run";"P05 Mazing Run";"P06 Pinpoint Pass";"P07 Early Cross";"P08 Box to Box";"P09 Cut Back Pass";"P10 Incisive Run";"P11 Long Ranger";"P12 Enforcer";"P13 Goal Poacher";"P14 Dummy Runner";"P15 Free Roaming";"P16 Extra Attacker";"P17 Chasing Back";"P18 Talisman";"P19 Fox in the Box";"P20 Track Back";"P21 Offensive Fullback";"P22 180 Drag";"P23 Flick(Sombrero)";"H01 Attack Minded";"H02 Defence Master";"S01 Weighted Pass";"S02 Double Touch";"S03 Run Around";"S04 PK Taker";"S05 1-touch play";"S06 Outside Curve";"S07 Lunging Tackle";"S08 Diving Header";"S09 Covering";"S10 GK Long Throw";"S11 Penalty Saver";"S12 1-on-1 Keeper";"S13 Long Throw";"S14 Speed Merchant";"S15 Shoulder Feint Skills";"S16 Roulette Skills";"S17 Flip Flap Skills";"S18 Turning Skills";"S19 Scissors Skills";"S20 Flicking Skills";"S21 Step On Skills";"S22 Deft Touch Skills";"S23 Super-Sub";"S24 Long Range Drive";"S25 Flip Flap Skills";"S26 Jumping Volley";"S27 Scissor Kick";"S28 Knuckle Shot";"S29 Heel Flick";
72;ABE;ABE;;Япония;31;177;77;R;R;DMF; CWP CB RB DMF CMF;1;63;72;75;80;74;78;73;72;70;75;72;75;75;68;76;75;82;82;79;76;70;50;80;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
162;ISHIKAWA;ISHIKAWA;;Япония;31;175;70;R;R;RMF; LMF RMF AMF LWF RWF;0;73;44;71;75;82;70;82;78;83;73;74;76;77;73;79;71;73;66;70;78;74;50;75;5;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
220;MAEDA;MAEDA;;Япония;30;183;80;R;R;CF; SS CF;1;77;46;81;82;75;78;75;80;78;76;73;74;75;76;77;70;72;80;78;84;72;50;75;5;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
250;ENDO;ENDO;;Япония;32;178;73;R;R;CMF; DMF CMF AMF;2;75;68;75;81;72;71;67;79;71;84;79;83;76;73;75;82;83;70;71;82;72;50;83;4;5;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
277;OKUBO;OKUBO;;Япония;30;170;73;R;R;SS; LMF RMF AMF SS CF;1;73;50;78;82;78;81;80;77;76;77;74;74;72;73;72;67;65;77;82;79;75;50;72;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
329;KOMANO;KOMANO;;Япония;31;172;76;R;R;RB; LB RB LMF RMF;2;68;67;71;86;76;73;76;73;74;70;74;78;80;63;79;74;78;68;75;71;71;50;77;7;5;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
450;EMERSON;EMERSON;;Катар;34;170;69;R;R;CF; LMF RMF LWF RWF SS CF;1;79;48;72;75;86;79;78;75;85;66;65;67;67;80;76;71;70;70;77;74;82;50;63;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
557;PARK JI SUNG;PARK;;Республика Корея;31;175;72;R;R;AMF; DMF CMF LMF RMF AMF LWF RWF SS;2;77;65;80;87;82;86;81;81;81;82;82;80;74;74;76;76;73;79;73;80;85;50;85;5;6;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
673;HAYASHI;HAYASHI;;Япония;30;188;87;R;R;GK; GK;1;30;77;81;60;70;86;69;58;54;61;63;62;64;45;82;45;45;55;75;60;72;78;72;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
721;DUNNE;DUNNE;;Ирландия;33;188;95;R;R;CB; CB RB;2;53;85;88;76;80;81;65;71;67;73;72;73;70;63;86;72;64;82;77;72;82;50;80;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
723;HARTE;HARTE;;Ирландия;35;175;73;L;R;LB; LB RB;2;72;60;72;74;72;72;71;74;72;74;77;81;88;67;87;84;92;65;71;72;68;50;72;4;7;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
729;ROBBIE KEANE;R. KEANE;;Ирландия;32;175;64;R;R;CF; SS CF;2;84;38;74;75;77;85;82;76;73;75;75;72;73;84;75;65;69;70;74;80;87;50;74;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
